,place,tmef,wf,tmn,tmx
0,서울,2022-07-01 00:00,흐리고 비,23,28
1,서울,2022-07-01 12:00,흐리고 비,23,28
2,서울,2022-07-02 00:00,흐림,23,29
3,서울,2022-07-02 12:00,구름많음,23,29
4,서울,2022-07-03 00:00,구름많음,23,30
5,서울,2022-07-03 12:00,구름많음,23,30
6,서울,2022-07-04 00:00,흐림,23,29
7,서울,2022-07-04 12:00,흐림,23,29
8,서울,2022-07-05 00:00,흐림,23,28
9,서울,2022-07-05 12:00,흐리고 비,23,28
10,서울,2022-07-06 00:00,흐림,23,29
11,서울,2022-07-07 00:00,흐림,23,28
12,서울,2022-07-08 00:00,흐림,23,28
13,인천,2022-07-01 00:00,흐리고 비,23,27
14,인천,2022-07-01 12:00,흐리고 비,23,27
15,인천,2022-07-02 00:00,흐림,23,28
16,인천,2022-07-02 12:00,구름많음,23,28
17,인천,2022-07-03 00:00,구름많음,22,27
18,인천,2022-07-03 12:00,구름많음,22,27
19,인천,2022-07-04 00:00,흐림,23,27
20,인천,2022-07-04 12:00,흐림,23,27
21,인천,2022-07-05 00:00,흐림,23,27
22,인천,2022-07-05 12:00,흐리고 비,23,27
23,인천,2022-07-06 00:00,흐림,23,27
24,인천,2022-07-07 00:00,흐림,23,27
25,인천,2022-07-08 00:00,흐림,22,28
26,수원,2022-07-01 00:00,흐리고 비,23,30
27,수원,2022-07-01 12:00,흐리고 비,23,30
28,수원,2022-07-02 00:00,흐림,23,30
29,수원,2022-07-02 12:00,구름많음,23,30
30,수원,2022-07-03 00:00,구름많음,23,29
31,수원,2022-07-03 12:00,구름많음,23,29
32,수원,2022-07-04 00:00,흐림,23,29
33,수원,2022-07-04 12:00,흐림,23,29
34,수원,2022-07-05 00:00,흐림,23,29
35,수원,2022-07-05 12:00,흐리고 비,23,29
36,수원,2022-07-06 00:00,흐림,23,29
37,수원,2022-07-07 00:00,흐림,24,29
38,수원,2022-07-08 00:00,흐림,23,29
39,파주,2022-07-01 00:00,흐리고 비,22,28
40,파주,2022-07-01 12:00,흐리고 비,22,28
41,파주,2022-07-02 00:00,흐림,22,28
42,파주,2022-07-02 12:00,구름많음,22,28
43,파주,2022-07-03 00:00,구름많음,21,29
44,파주,2022-07-03 12:00,구름많음,21,29
45,파주,2022-07-04 00:00,흐림,21,28
46,파주,2022-07-04 12:00,흐림,21,28
47,파주,2022-07-05 00:00,흐림,23,28
48,파주,2022-07-05 12:00,흐리고 비,23,28
49,파주,2022-07-06 00:00,흐림,23,28
50,파주,2022-07-07 00:00,흐림,22,28
51,파주,2022-07-08 00:00,흐림,23,28
52,이천,2022-07-01 00:00,흐리고 비,22,30
53,이천,2022-07-01 12:00,흐리고 비,22,30
54,이천,2022-07-02 00:00,흐림,22,31
55,이천,2022-07-02 12:00,구름많음,22,31
56,이천,2022-07-03 00:00,구름많음,22,30
57,이천,2022-07-03 12:00,구름많음,22,30
58,이천,2022-07-04 00:00,흐림,22,29
59,이천,2022-07-04 12:00,흐림,22,29
60,이천,2022-07-05 00:00,흐림,22,29
61,이천,2022-07-05 12:00,흐리고 비,22,29
62,이천,2022-07-06 00:00,흐림,23,30
63,이천,2022-07-07 00:00,흐림,23,30
64,이천,2022-07-08 00:00,흐림,23,30
65,평택,2022-07-01 00:00,흐리고 비,23,31
66,평택,2022-07-01 12:00,흐리고 비,23,31
67,평택,2022-07-02 00:00,흐림,23,32
68,평택,2022-07-02 12:00,구름많음,23,32
69,평택,2022-07-03 00:00,구름많음,23,30
70,평택,2022-07-03 12:00,구름많음,23,30
71,평택,2022-07-04 00:00,흐림,23,30
72,평택,2022-07-04 12:00,흐림,23,30
73,평택,2022-07-05 00:00,흐림,23,30
74,평택,2022-07-05 12:00,흐리고 비,23,30
75,평택,2022-07-06 00:00,흐림,23,30
76,평택,2022-07-07 00:00,흐림,24,30
77,평택,2022-07-08 00:00,흐림,23,32
78,춘천,2022-07-01 00:00,흐리고 비,23,29
79,춘천,2022-07-01 12:00,흐리고 비,23,29
80,춘천,2022-07-02 00:00,흐림,23,30
81,춘천,2022-07-02 12:00,흐림,23,30
82,춘천,2022-07-03 00:00,구름많음,22,30
83,춘천,2022-07-03 12:00,흐림,22,30
84,춘천,2022-07-04 00:00,흐림,23,29
85,춘천,2022-07-04 12:00,흐림,23,29
86,춘천,2022-07-05 00:00,흐림,23,28
87,춘천,2022-07-05 12:00,흐리고 비,23,28
88,춘천,2022-07-06 00:00,흐림,23,29
89,춘천,2022-07-07 00:00,흐림,23,29
90,춘천,2022-07-08 00:00,흐림,23,29
91,원주,2022-07-01 00:00,흐리고 비,23,30
92,원주,2022-07-01 12:00,흐리고 비,23,30
93,원주,2022-07-02 00:00,흐림,23,30
94,원주,2022-07-02 12:00,흐림,23,30
95,원주,2022-07-03 00:00,구름많음,22,30
96,원주,2022-07-03 12:00,흐림,22,30
97,원주,2022-07-04 00:00,흐림,23,29
98,원주,2022-07-04 12:00,흐림,23,29
99,원주,2022-07-05 00:00,흐림,23,30
100,원주,2022-07-05 12:00,흐리고 비,23,30
101,원주,2022-07-06 00:00,흐림,23,30
102,원주,2022-07-07 00:00,흐림,23,30
103,원주,2022-07-08 00:00,흐림,23,30
104,강릉,2022-07-01 00:00,흐림,23,28
105,강릉,2022-07-01 12:00,흐림,23,28
106,강릉,2022-07-02 00:00,구름많음,24,29
107,강릉,2022-07-02 12:00,구름많음,24,29
108,강릉,2022-07-03 00:00,구름많음,24,30
109,강릉,2022-07-03 12:00,구름많음,24,30
110,강릉,2022-07-04 00:00,흐림,24,30
111,강릉,2022-07-04 12:00,흐림,24,30
112,강릉,2022-07-05 00:00,흐림,23,29
113,강릉,2022-07-05 12:00,흐리고 비,23,29
114,강릉,2022-07-06 00:00,흐림,24,31
115,강릉,2022-07-07 00:00,흐림,24,30
116,강릉,2022-07-08 00:00,흐림,23,29
117,대전,2022-07-01 00:00,구름많음,24,31
118,대전,2022-07-01 12:00,흐림,24,31
119,대전,2022-07-02 00:00,구름많음,24,32
120,대전,2022-07-02 12:00,구름많음,24,32
121,대전,2022-07-03 00:00,구름많음,23,31
122,대전,2022-07-03 12:00,흐림,23,31
123,대전,2022-07-04 00:00,흐림,24,29
124,대전,2022-07-04 12:00,흐림,24,29
125,대전,2022-07-05 00:00,흐림,24,30
126,대전,2022-07-05 12:00,흐리고 비,24,30
127,대전,2022-07-06 00:00,흐림,24,31
128,대전,2022-07-07 00:00,흐림,24,30
